url	nama	harga	jenis	address	aircon	free_wifi	kamar_mandi_dalam	fasilitas_kamar	fasilitas_kost
https://www.sewakost.com/jakarta/selatan/kost-puspita-19-93462.html	Kost Puspita 19	Rp 1.500.000	Kost Putri	Taman Shangrila Unit I, Jl. Shangrila III/105, Petukangan Selatan, Jakarta Selatan	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kulkas', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Dapur', 'Air Minum', 'Cuci Setrika', 'Mesin Cuci (Cuci Sendiri)', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kost-cilandak-23243.html	KOST CILANDAK	Rp 950.000	Kost Campur	Jalan Cilandak Tengah 1 NO 17 (Belakang Citos)	Tidak	Ya	Ya	['Spring Bed', 'Free WiFi', 'Kamar Mandi Dalam']	['Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kost-dan-kontrakan-nyaman-asri-dan-aman-di-daerah-cilandak-jagakarsa-kebagusan-93346.html	Kost dan kontrakan nyaman, Asri dan aman di daerah Cilandak, Jagakarsa, Kebagusan	Rp 2.500.000	Kost Campur	Jl. Kecapi V No. 22 RT 006/005, Cilandak, Jagakarsa, Jakarta Selatan.	Ya	Tidak	Ya	['Spring Bed', 'AC', 'Kamar Mandi Dalam']	['Ruang Tamu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kost-putra-hj-zakiyah-93348.html	Kost Putra Hj Zakiyah	Rp 500.000	Kost Putra	Jl panjang cidodol rt.005/013 no.9 kebayoran lama jakarta selatan	Tidak	Tidak	Tidak	['Spring Bed']	['Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kontrak-kos-exclusive-jagakarsa-93084.html	Kontrak Kos Exclusive Jagakarsa	Rp 4.000.000	Kost Keluarga	Jalan Timbul Raya no 57	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Televisi', 'Ruang Makan', 'Dapur', 'Air Minum', 'Cuci Setrika', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/ss-homes-executive-rooms-92961.html	SS HOMES EXECUTIVE ROOMS	Rp 3.500.000	Kost Campur	jl.panglima polim XI NO.17 melawai kebayoran baru jakarta selatan	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Ruang Makan', 'Dapur', 'Mesin Cuci (Cuci Sendiri)', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kost-idaman-sebrang-mal-kota-kasablanka-92944.html	KOST IDAMAN SEBRANG MAL KOTA KASABLANKA	Rp 2.600.000	Kost Campur	Jl. Palbatu Batu Raya No. 46, Menteng Dalam, Jakarta Selatan (Depan Mall Kota Kasablanka)	Ya	Tidak	Ya	['Spring Bed', 'Perabot', 'AC', 'TV', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Televisi', 'Ruang Makan', 'Dapur', 'Air Minum', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/amanda-kost-92798.html	Amanda kost 	Rp 600.000	Kost Campur	Jalan assakinah no 11 RT 11 rw 02 Kebagusan pasar Minggu	Tidak	Ya	Tidak	['Spring Bed']	['Dapur']
https://www.sewakost.com/jakarta/selatan/rumah-salam-mutiara-ragunan-92794.html	Rumah Salam @ Mutiara Ragunan	Rp 1.800.000	Kost Putra	Cluster Mutiara Ragunan No. 1E, Jl. RM. Harsono	Ya	Tidak	Ya	['Spring Bed', 'Perabot', 'AC', 'Kamar Mandi Dalam']	['Dapur', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/rumah-salam-mutiara-ragunan-92793.html	Rumah Salam @ Mutiara Ragunan	Rp 1.500.000	Kost Putra	Cluster Mutiara Ragunan No. 1E, Jl. RM. Harsono	Tidak	Tidak	Ya	['Spring Bed', 'Perabot', 'AC', 'Kamar Mandi Dalam']	['Dapur', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
